hotel_id,hotel_name,hotel_url,locality_id,review_count,TA_rating,TA_rank,hotel_features
1776857,"Langham Place, New York, Fifth Avenue",https://www.tripadvisor.com/Hotel_Review-g60763-d1776857-Reviews-Langham_Place_New_York_Fifth_Avenue-New_York_City_New_York.html,60763,2,85,4.5,"Free Wifi, Restaurant"
1456411,Gansevoort Park Avenue NYC,https://www.tripadvisor.com/Hotel_Review-g60763-d1456411-Reviews-Gansevoort_Park_Avenue_NYC-New_York_City_New_York.html,60763,2,86,4.5,"Free Wifi, Pool"
93430,IBEROSTAR 70 Park Avenue Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93430-Reviews-IBEROSTAR_70_Park_Avenue_Hotel-New_York_City_New_York.html,60763,2,87,4,"Free Wifi, Fitness center"
99281,The Lucerne Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d99281-Reviews-The_Lucerne_Hotel-New_York_City_New_York.html,60763,2,88,4.5,"Free Wifi, Restaurant"
122020,Chelsea Pines Inn,https://www.tripadvisor.com/Hotel_Review-g60763-d122020-Reviews-Chelsea_Pines_Inn-New_York_City_New_York.html,60763,2,89,4.5,"Free Wifi, Breakfast included"
6385164,citizenM New York Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d6385164-Reviews-CitizenM_New_York_Times_Square-New_York_City_New_York.html,60763,2,90,4.5,"Free Wifi, Bar/Lounge"
225942,Park South Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d225942-Reviews-Park_South_Hotel-New_York_City_New_York.html,60763,2,121,4.5,"Free Wifi, Fitness center"
2554351,Hyatt Place New York Midtown South,https://www.tripadvisor.com/Hotel_Review-g60763-d2554351-Reviews-Hyatt_Place_New_York_Midtown_South-New_York_City_New_York.html,60763,1,122,4,"Free Wifi, Breakfast included"
93398,SIXTY SoHo,https://www.tripadvisor.com/Hotel_Review-g60763-d93398-Reviews-SIXTY_SoHo-New_York_City_New_York.html,60763,911,124,4.5,"Free Wifi, Restaurant"
3522780,Walker Hotel Greenwich Village,https://www.tripadvisor.com/Hotel_Review-g60763-d3522780-Reviews-Walker_Hotel_Greenwich_Village-New_York_City_New_York.html,60763,972,125,4.5,"Free Wifi, Restaurant"
1371825,"Smyth, a Thompson Hotel",https://www.tripadvisor.com/Hotel_Review-g60763-d1371825-Reviews-Smyth_a_Thompson_Hotel-New_York_City_New_York.html,60763,467,126,4.5,"Free Wifi, Restaurant"
4053479,Courtyard New York Manhattan/Herald Square,https://www.tripadvisor.com/Hotel_Review-g60763-d4053479-Reviews-Courtyard_New_York_Manhattan_Herald_Square-New_York_City_New_York.html,60763,744,128,4.5,"Free Wifi, Restaurant"
125274,The Redbury New York,https://www.tripadvisor.com/Hotel_Review-g60763-d125274-Reviews-The_Redbury_New_York-New_York_City_New_York.html,60763,322,130,4,"Free Wifi, Restaurant"
1553789,World Center Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d1553789-Reviews-World_Center_Hotel-New_York_City_New_York.html,60763,912,131,4.5,"Free Wifi, Restaurant"
99371,Courtyard New York Manhattan/Midtown East,https://www.tripadvisor.com/Hotel_Review-g60763-d99371-Reviews-Courtyard_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,60763,2,132,4.5,"Free Wifi, Fitness center"
575732,Renaissance New York Hotel 57,https://www.tripadvisor.com/Hotel_Review-g60763-d575732-Reviews-Renaissance_New_York_Hotel_57-New_York_City_New_York.html,60763,1,133,4,"Free Wifi, Restaurant"
1214829,Doubletree Hotel Chelsea - New York City,https://www.tripadvisor.com/Hotel_Review-g60763-d1214829-Reviews-Doubletree_Hotel_Chelsea_New_York_City-New_York_City_New_York.html,60763,1,134,4,"Free Wifi, Restaurant"
3572587,Hampton Inn Manhattan Grand Central,https://www.tripadvisor.com/Hotel_Review-g60763-d3572587-Reviews-Hampton_Inn_Manhattan_Grand_Central-New_York_City_New_York.html,60763,2,135,4.5,"Free Wifi, Breakfast included"
93625,Hotel Wales,https://www.tripadvisor.com/Hotel_Review-g60763-d93625-Reviews-Hotel_Wales-New_York_City_New_York.html,60763,749,136,4,"Free Wifi, Restaurant"
1786395,NOMO SOHO Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d1786395-Reviews-NOMO_SOHO_Hotel-New_York_City_New_York.html,60763,937,138,4,"Free Wifi, Restaurant"
5040757,"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",https://www.tripadvisor.com/Hotel_Review-g60763-d5040757-Reviews-Homewood_Suites_by_Hilton_New_York_Midtown_Manhattan_Times_Square_South_NY-New_York_Cit.html,60763,2,139,4.5,"Free Wifi, Fitness center"
287626,Gansevoort Meatpacking NYC,https://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html,60763,1,140,4,"Free Wifi, Pool"
1806062,Cassa Hotel 45th Street New York,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_45th_Street_New_York-New_York_City_New_York.html,60763,2,141,4.5,"Free Wifi, Restaurant"
93525,Sanctuary Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93525-Reviews-Sanctuary_Hotel_New_York-New_York_City_New_York.html,60763,4,142,4.5,"Free Wifi, Breakfast included"
93606,Hotel Plaza Athenee New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93606-Reviews-Hotel_Plaza_Athenee_New_York-New_York_City_New_York.html,60763,652,143,4.5,"Free Wifi, Restaurant"
217623,"Club Quarters Hotel, Wall Street",https://www.tripadvisor.com/Hotel_Review-g60763-d217623-Reviews-Club_Quarters_Hotel_Wall_Street-New_York_City_New_York.html,60763,1,145,4,"Free Wifi, Restaurant"
93396,The Iroquois New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York.html,60763,3,148,4.5,"Free Wifi, Restaurant"
222959,"The Ritz-Carlton New York, Battery Park",https://www.tripadvisor.com/Hotel_Review-g60763-d222959-Reviews-The_Ritz_Carlton_New_York_Battery_Park-New_York_City_New_York.html,60763,2,149,4.5,"Free Wifi, Restaurant"
564851,Courtyard New York Manhattan/Upper East Side,https://www.tripadvisor.com/Hotel_Review-g60763-d564851-Reviews-Courtyard_New_York_Manhattan_Upper_East_Side-New_York_City_New_York.html,60763,842,150,4,"Free Wifi, Fitness center"
93383,6 Columbus - A SIXTY Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93383-Reviews-6_Columbus_A_SIXTY_Hotel-New_York_City_New_York.html,60763,1,151,4,"Free Wifi, Restaurant"
455186,JW Marriott Essex House New York,https://www.tripadvisor.com/Hotel_Review-g60763-d455186-Reviews-JW_Marriott_Essex_House_New_York-New_York_City_New_York.html,60763,1,152,4,"Free Wifi, Restaurant"
273530,The Maritime Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d273530-Reviews-The_Maritime_Hotel-New_York_City_New_York.html,60763,647,153,4.5,"Free Wifi, Restaurant"
514488,Hotel on Rivington,https://www.tripadvisor.com/Hotel_Review-g60763-d514488-Reviews-Hotel_on_Rivington-New_York_City_New_York.html,60763,1,154,4,"Free Wifi, Restaurant"
93475,New York Marriott East Side,https://www.tripadvisor.com/Hotel_Review-g60763-d93475-Reviews-New_York_Marriott_East_Side-New_York_City_New_York.html,60763,2,155,4,"Free Wifi, Restaurant"
93445,The Blakely New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93445-Reviews-The_Blakely_New_York-New_York_City_New_York.html,60763,1,156,4.5,"Free Wifi, Breakfast included"
99392,Hotel Metro,https://www.tripadvisor.com/Hotel_Review-g60763-d99392-Reviews-Hotel_Metro-New_York_City_New_York.html,60763,4,157,4.5,"Free Wifi, Breakfast included"
1158763,Hampton Inn Manhattan-35th St/Empire State Bldg,https://www.tripadvisor.com/Hotel_Review-g60763-d1158763-Reviews-Hampton_Inn_Manhattan_35th_St_Empire_State_Bldg-New_York_City_New_York.html,60763,2,158,4,"Free Wifi, Breakfast included"
121998,The Marmara Manhattan,https://www.tripadvisor.com/Hotel_Review-g60763-d121998-Reviews-The_Marmara_Manhattan-New_York_City_New_York.html,60763,883,159,4.5,"Free Wifi, Fitness center"
93345,Skyline Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93345-Reviews-Skyline_Hotel-New_York_City_New_York.html,60763,2,161,4,"Pool, Restaurant"
5960548,Hilton Garden Inn New York/Manhattan-Midtown East,https://www.tripadvisor.com/Hotel_Review-g60763-d5960548-Reviews-Hilton_Garden_Inn_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,60763,1,162,4.5,"Free Wifi, Restaurant"
1791248,Hotel Mulberry,https://www.tripadvisor.com/Hotel_Review-g60763-d1791248-Reviews-Hotel_Mulberry-New_York_City_New_York.html,60763,582,163,4.5,"Free Wifi, Breakfast included"
1201072,Ace Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d1201072-Reviews-Ace_Hotel_New_York-New_York_City_New_York.html,60763,1,164,4,"Free Wifi, Restaurant"
277882,Hampton Inn Manhattan-Seaport-Financial District,https://www.tripadvisor.com/Hotel_Review-g60763-d277882-Reviews-Hampton_Inn_Manhattan_Seaport_Financial_District-New_York_City_New_York.html,60763,1,165,4,"Free Wifi, Breakfast included"
5786212,Hilton Garden Inn New York/Central Park South-Midtown West,https://www.tripadvisor.com/Hotel_Review-g60763-d5786212-Reviews-Hilton_Garden_Inn_New_York_Central_Park_South_Midtown_West-New_York_City_New_York.html,60763,2,166,4,"Free Wifi, Restaurant"
1785018,The James New York-SoHo,https://www.tripadvisor.com/Hotel_Review-g60763-d1785018-Reviews-The_James_New_York_SoHo-New_York_City_New_York.html,60763,1,167,4.5,"Free Wifi, Pool"
6582176,Park Hyatt New York,https://www.tripadvisor.com/Hotel_Review-g60763-d6582176-Reviews-Park_Hyatt_New_York-New_York_City_New_York.html,60763,1,168,4.5,"Free Wifi, Room Service"
1234559,Holiday Inn New York City - Wall Street,https://www.tripadvisor.com/Hotel_Review-g60763-d1234559-Reviews-Holiday_Inn_New_York_City_Wall_Street-New_York_City_New_York.html,60763,728,169,4,"Free Wifi, Restaurant"
1858923,DoubleTree by Hilton Hotel New York City - Financial District,https://www.tripadvisor.com/Hotel_Review-g60763-d1858923-Reviews-DoubleTree_by_Hilton_Hotel_New_York_City_Financial_District-New_York_City_New_York.html,60763,2,170,3.5,"Restaurant, Room Service"
99332,Ameritania Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d99332-Reviews-Ameritania_Hotel-New_York_City_New_York.html,60763,5,171,4.5,"Room Service, Bar/Lounge"
2622936,Wyndham Garden Chinatown,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York.html,60763,1,172,4.5,"Free Wifi, Restaurant"
99774,La Quinta Inn & Suites Manhattan,https://www.tripadvisor.com/Hotel_Review-g60763-d99774-Reviews-La_Quinta_Inn_Suites_Manhattan-New_York_City_New_York.html,60763,2,174,4,"Free Wifi, Breakfast included"
112039,Hotel Newton,https://www.tripadvisor.com/Hotel_Review-g60763-d112039-Reviews-Hotel_Newton-New_York_City_New_York.html,60763,1,175,4,Free Internet
1595302,"Club Quarters Hotel, World Trade Center",https://www.tripadvisor.com/Hotel_Review-g60763-d1595302-Reviews-Club_Quarters_Hotel_World_Trade_Center-New_York_City_New_York.html,60763,1,176,4.5,"Free Wifi, Restaurant"
99321,The Manhattan Club,https://www.tripadvisor.com/Hotel_Review-g60763-d99321-Reviews-The_Manhattan_Club-New_York_City_New_York.html,60763,1,177,4,"Free Wifi, Bar/Lounge"
112021,Broadway at Times Square Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d112021-Reviews-Broadway_at_Times_Square_Hotel-New_York_City_New_York.html,60763,2,178,4,"Free Wifi, Breakfast included"
1913413,The Jewel facing Rockefeller Center,https://www.tripadvisor.com/Hotel_Review-g60763-d1913413-Reviews-The_Jewel_facing_Rockefeller_Center-New_York_City_New_York.html,60763,1,179,4.5,"Free Wifi, Room Service"
